state_name,district_n,Index,ft,ffid,x,y,MET_data,AV_CCCMA,AV_CNRM,AV_CSIRO,AV_IPSL,AV_MPI_MR,AV_NOAA,AV_REMO2009,Met_observed data_1976_2005,,,,
ASSAM,BARPETA,59,TRUE,504,91.06798153,26.48643262,,19.54,18.03,20.88,20.05,19.16,17.98,23.75,23.27,0.682977213,0.685678091,0.687418412,0.682522169
ASSAM,CACHAR,100,TRUE,516,92.83830052,24.82318938,,19.95,18.06,21.09,20.56,19.4,18.41,23,23.71,,,,
ASSAM,DHEMAJI,156,TRUE,512,94.5419946,27.4215608,,16.57,14.83,17.49,16.89,15.88,14.92,21.92,23.79,,,,
ASSAM,DHUBRI,158,TRUE,519,90.52546442,26.09477334,,19,17.37,20.17,19.73,18.48,17.34,23.17,24.95,,,,
ASSAM,DIBRUGARH,160,TRUE,513,95.04644033,27.32638236,,16.26,14.48,17.05,16.56,15.52,14.6,21.67,23.19,,,,
ASSAM,DIPHU (KARBI ANGLONG),163,TRUE,514,93.39985331,26.16520539,,17.81,15.96,18.65,18.25,17.11,16.14,22.08,21.57,,,,
ASSAM,GOLAGHAT,203,TRUE,508,93.92095527,26.53402184,,17.22,15.47,18.38,17.64,16.61,15.6,22.25,23.03,,,,
ASSAM,GOPALPARA,207,TRUE,520,89.95439378,26.10429118,,19.32,17.71,20.62,20.14,18.8,17.63,23.17,23.78,,,,
ASSAM,GUWAHATI (KAMRUP),216,TRUE,522,91.60098079,26.18995178,,18.76,17.11,20.13,19.48,18.31,17.13,23.67,21.99,,,,
ASSAM,HAFLONG (N. CACHAR HILLS),219,TRUE,515,93.0286574,25.33715296,,18.59,16.64,19.33,18.98,17.81,16.95,20.83,22.79,,,,
ASSAM,HAILAKANDI,220,TRUE,517,92.60987226,24.43866848,,19.72,17.75,20.35,20.1,18.88,18.07,22.92,23.94,,,,
ASSAM,JORHAT,270,TRUE,510,94.28215746,26.73627603,,17.69,15.91,19.11,18.16,17.11,16.07,22.58,23.21,,,,
ASSAM,KARIMGANJ,292,TRUE,518,92.37192616,24.50529339,,21.12,19.3,22.56,21.93,20.77,19.65,23.92,24.61,,,,
ASSAM,KOKRAJHAR,315,TRUE,501,90.12095605,26.59588783,,14.66,12.94,15.38,14.97,13.92,12.92,19.58,24.34,,,,
ASSAM,LAKHIMPUR,331,TRUE,509,94.07276489,27.13602548,,16.07,14.35,16.99,16.35,15.43,14.43,20.92,24.11,,,,
ASSAM,NAGAON,388,TRUE,524,92.70604214,26.21275495,,18.41,16.69,19.61,19.07,17.92,16.79,23.75,20.57,,,,
ASSAM,NALBARI,395,TRUE,503,91.45821313,26.4816737,,19.54,18.03,20.88,20.05,19.16,17.98,23.75,23.18,,,,
ASSAM,SIBSAGAR,502,TRUE,511,94.70379795,26.91711506,,17.02,15.12,17.87,17.3,16.21,15.32,21.33,22.53,,,,
ASSAM,TEZPUR (SONITPUR),530,TRUE,507,92.83592106,26.7196198,,16.18,14.5,17.29,16.6,15.65,14.56,22.33,24.14,,,,
ASSAM,TINSUKIA,540,TRUE,506,95.60561367,27.53339546,,13.72,12.03,14.52,13.94,13.11,12.07,20.67,20.62,,,,
GUJARAT,AHMADABAD,4,TRUE,472,72.31860213,22.70160246,,26.43,25.42,29.15,26.79,26.52,25.58,24.58,27.1,,,,
GUJARAT,ALWA (THE DANGS),15,TRUE,487,73.67560874,20.80993096,,24.52,23.54,26.21,24.36,24.15,23.62,22.17,26.19,,,,
GUJARAT,AMRELI,20,TRUE,483,71.05153914,21.31675615,,26.04,25.25,27.65,26.06,25.9,25.52,24.08,21.63,,,,
GUJARAT,ANAND,22,TRUE,494,72.72548996,22.45175905,,25.98,25.25,27.97,26.03,25.09,25.55,24.58,27.37,,,,
GUJARAT,BANAS KANTHA,44,TRUE,480,72.27934102,24.26490834,,25.33,24.13,27.73,25.9,25.2,24.08,24,27.2,,,,
GUJARAT,BHARUCH,75,TRUE,495,72.95391822,21.8021662,,25.43,25.07,26.91,25.33,25.24,25.4,24.58,26.64,,,,
GUJARAT,BHAVNAGAR,76,TRUE,493,71.87602238,21.55232279,,26.21,25.36,28.68,26.51,26.06,25.44,24.75,26.46,,,,
GUJARAT,DOHAD,166,TRUE,486,74.11818849,22.88720042,,24.98,23.8,27.65,25.25,24.64,23.82,23.08,0.7,,,,
GUJARAT,GANDHINAGAR,188,TRUE,475,72.6648137,23.19415089,,25.81,24.72,28.69,26.26,25.84,24.81,24.42,27.52,,,,
GUJARAT,GODHRA (PANCH MAHAL),202,TRUE,485,73.55425623,22.75157114,,25.36,24.25,28.14,25.65,25.19,24.31,23.67,27.62,,,,
GUJARAT,KACHCHH (BHUJ),274,TRUE,489,68.23556616,23.90236903,,24.88,23.84,24.28,24.73,23.94,24.94,24.58,22.25,,,,
GUJARAT,KHEDA,307,TRUE,476,73.043148,22.83723174,,25.79,24.74,28.65,26.09,25.78,24.86,24.17,27.55,,,,
GUJARAT,MAHESANA,350,TRUE,482,72.48635413,23.59390034,,25.78,24.62,28.23,26.25,25.72,24.66,24.5,27.35,,,,
GUJARAT,NARMADA,401,TRUE,492,73.61778784,21.7165056,,25.16,24.12,27.14,25.06,24.88,24.16,23.58,27.46,,,,
GUJARAT,PATAN,428,TRUE,481,72.04377438,23.84374374,,25.78,24.62,28.23,26.25,25.72,24.66,24.5,27.35,,,,
GUJARAT,RAJKOT,452,TRUE,490,70.77742523,22.17336212,,25.77,24.75,27.69,25.98,25.62,25.01,23.75,26.54,,,,
GUJARAT,SABAR KANTHA,472,TRUE,474,73.0962893,23.50823974,,25.06,23.88,27.86,25.61,24.87,23.83,23.58,27.34,,,,
GUJARAT,SURAT,524,TRUE,478,73.29299141,21.10974305,,24.82,24.29,26.11,24.57,24.96,24.55,24.33,21.05,,,,
GUJARAT,SURENDRANAGAR,525,TRUE,473,71.4905497,22.74443276,,26.08,24.99,28.24,26.37,26,25.21,24.33,26.76,,,,
GUJARAT,VADODARA,565,TRUE,477,73.33582171,22.16622373,,25.77,24.79,28.22,25.83,25.7,24.89,24,27.49,,,,
HIMACHAL PRADESH,CHAMBA,102,TRUE,17,76.16784172,32.54004578,,4.25,1.93,4.79,4.36,3.01,1.33,1.83,19.41,,,,
HIMACHAL PRADESH,DHARMSHALA (KANGRA),153,TRUE,18,76.24398447,32.18788555,,9.37,7.18,10.22,9.49,8.22,6.67,11.83,22.4,,,,
HIMACHAL PRADESH,HAMIRPUR,221,TRUE,22,76.53903764,31.58826138,,9.97,7.81,10.91,10.08,8.82,7.35,14.75,23.25,,,,
HIMACHAL PRADESH,KALPA (KINNAUR),280,TRUE,15,78.23321387,31.44549372,,2.61,0.31,2.88,2.62,1.4,-0.06,-1.33,12.76,,,,
HIMACHAL PRADESH,KULLU,328,TRUE,19,77.11962612,31.91186807,,5.31,3.01,5.77,5.32,4.09,2.59,6.58,17.52,,,,
HIMACHAL PRADESH,KYELANG (LAHUL & SPITI),330,TRUE,14,76.99589415,32.54956362,,-0.41,-2.67,-0.18,-0.2,-1.59,-3.33,-9.33,9.02,,,,
HIMACHAL PRADESH,MANDI,357,TRUE,24,77.05300121,31.59777922,,5.31,3.01,5.77,5.32,4.09,2.59,6.58,22.1,,,,
HIMACHAL PRADESH,NAHAR (SIRMAUR),392,TRUE,16,77.28142947,30.54129854,,14.93,13,16.28,15.24,13.87,12.55,17.42,24.01,,,,
HIMACHAL PRADESH,SHIMLA,498,TRUE,25,77.24335809,31.08381564,,10.49,8.38,11.31,10.56,9.38,8,12.25,20.59,,,,
HIMACHAL PRADESH,SOLAN,512,TRUE,20,77.03396552,30.89345876,,14.93,13,16.28,15.24,13.87,12.55,17.42,24.32,,,,
HIMACHAL PRADESH,UNA,559,TRUE,21,76.272538,31.43597587,,17.66,15.73,19.57,18.2,16.53,15.11,21.25,23.99,,,,
MADHYA PRADESH,BALAGHAT,39,TRUE,450,80.40807554,21.92232898,,23.63,21.86,25.92,23.8,22.66,22.24,23.17,26.76,,,,
MADHYA PRADESH,BARWANI,60,TRUE,455,74.92579738,21.80811485,,25.19,23.99,27.33,25.2,24.66,24.01,23.08,26.82,,,,
MADHYA PRADESH,BETUL,70,TRUE,454,77.95247178,21.83666838,,24.41,22.89,26.89,24.58,23.5,23.1,21.58,26.43,,,,
MADHYA PRADESH,BHIND,78,TRUE,431,78.72341715,26.41951028,,24.53,22.74,27.44,25.56,23.49,22.51,24.25,25.55,,,,
MADHYA PRADESH,BHOPAL,81,TRUE,465,77.37812938,23.45470187,,23.93,22.45,26.88,24.34,23.16,22.49,22.17,25.84,,,,
MADHYA PRADESH,CHHATARPUR,114,TRUE,440,79.65140694,24.69202159,,23.93,22.1,26.69,24.5,22.96,22.07,23.33,25.35,,,,
MADHYA PRADESH,CHHINDWARA,115,TRUE,453,78.86618481,22.1222037,,23.56,21.95,26.2,23.87,22.67,22.19,21.08,25.64,,,,
MADHYA PRADESH,DAMOH,134,TRUE,449,79.56574634,23.79258533,,23.5,21.74,26.29,23.9,22.62,21.86,22.58,25.53,,,,
MADHYA PRADESH,DATIA,140,TRUE,432,78.63775655,25.74850228,,24.54,22.75,27.38,25.38,23.53,22.55,24.17,25.42,,,,
MADHYA PRADESH,DEWAS,148,TRUE,467,76.36685845,22.699223,,24.62,23.22,27.37,24.87,23.91,23.24,22.17,26.6,,,,
MADHYA PRADESH,DHAR,151,TRUE,462,75.09711857,22.46484609,,24.98,23.73,27.51,25.12,24.43,23.79,23.33,26.31,,,,
MADHYA PRADESH,DINDORI,162,TRUE,447,81.06480678,22.76465818,,22.85,21.02,25.19,23.12,21.88,21.37,20.83,25.13,,,,
MADHYA PRADESH,EAST NIMAR,172,TRUE,464,76.46768811,21.75100779,,25.38,24.01,27.87,25.37,24.6,24.11,22.92,26.93,,,,
MADHYA PRADESH,GUNA,212,TRUE,437,77.3956779,24.5207004,,23.74,22.16,26.83,24.51,22.89,21.98,22.33,25.65,,,,
MADHYA PRADESH,GWALIOR,217,TRUE,433,78.18090004,25.96265377,,24.28,22.52,27.14,25.09,23.28,22.29,23.92,25.29,,,,
MADHYA PRADESH,HARDA,225,TRUE,468,77.0747481,22.21738215,,24.17,22.68,26.82,24.32,23.29,22.79,22.75,26.75,,,,
MADHYA PRADESH,HOSHANGABAD,235,TRUE,469,77.94325137,22.58024995,,24.14,22.65,26.99,24.45,23.36,22.76,22.58,25.84,,,,
MADHYA PRADESH,INDORE,242,TRUE,461,75.82523364,22.72182788,,25,23.68,27.83,25.26,24.41,23.73,21.83,26.68,,,,
MADHYA PRADESH,JABALPUR,244,TRUE,470,79.98125972,23.21675577,,23.37,21.64,26.17,23.75,22.49,21.85,22.33,25.22,,,,
MADHYA PRADESH,JHABUA,262,TRUE,427,74.4974944,22.60761375,,24.98,23.8,27.65,25.25,24.64,23.82,23.08,26.56,,,,
MADHYA PRADESH,KATNI,300,TRUE,446,80.40807554,23.69264797,,23.35,21.57,26.06,23.75,22.45,21.74,22.42,25.36,,,,
MADHYA PRADESH,MANDLA,358,TRUE,448,80.4651826,22.45056932,,23.19,21.45,25.61,23.44,22.25,21.78,22.42,25.83,,,,
MADHYA PRADESH,MANDSAUR,359,TRUE,429,75.39693066,24.13522772,,24.07,22.72,27.15,24.78,23.45,22.57,21.75,25.83,,,,
